watchers,size
1,4084
3,25286
2,4560
1,67128
1,170644
1,2644
1,7884
1,300
1,112
1,328
1,852
1,596
1,720
1,92
1,7240
1,812
0,212
1,92
1,96
2,32128
169,17262
1,220
1,1504
2,1327
2,204
143,3580
1,2168
1,32860
2,128
227,20314
2,192
1,912
4,10718
20,1740
2,111
17,973
1,100
2,412
4,210
1,2188
2,460
1,92
1,180
1,840
1,5668
1,4698
1,252
1,100
1,100
0,88
1,371
4,872
20,3252
3,284
1,132
0,124
9,99
3,8608
3,6357
23,409
12,117
1,232
0,200
2,8314
1,48
3,107
1,1153
0,124
1,48
1,1104
6,15586
1,132
1,102620
1,6336
8,897
3,326
4,2416
20,8005
2,1780
1,452
4,5771
1,212
1,100
7,217
1,4900
1,48
7,94564
14,1866
2,228
4,4768
1,108
1,204
6,30265
122,5729
2,104
1,5495
1,96
1,48
3,32925
1,128
1,276
5,5226
0,2536
1,112
1,660
4,1685
1,92
4,5944
1,4906
24,744
2,600
1,220
1,48
2,682
1,132
1,96
1,5568
1,128
1,128
44,1014
59,1320
4,684
4,451
3,932
1,8752
5,291
1,136
2,120
1,48
1,628
1,48
1,9212
1,840
1,92
1,164
0,2160
1,516
5,50884
1,104
1,100
1,48
2,355
9,108
3,10976
6,1899
3,432
4,2768
2,116
1,132
1,189
1,88
1,184
2,186
1,124
1,94
1,48
1,92
1,324
1,387
1,188
1,3496
98,199
1,92
1,504
1,128
6,89349
3,275
3,3756
66,125
10,178
2,119
38,234
2,48
2,124
5,268
2,448
2,8156
6,2023
2,132
3,41329
0,392
31,2775
1,88
1,48
1,7656
1,212
1,19136
2,14270
1,136
1,48
1219,29336
2,349
57,2676
9,36861
3,8732
1,15848
1,512
143,29816
14,7999
33,20917
5,5887
26,161
2,121
2,219
1,2195
1,164
5,578
2,116
0,136
1,260
1,96
1,284
1,48
1,48
1,140
1,7380
1,48
1,396
1,1920
2,4440
1,1212
1,420
1,4680
1,116
1,472
1,100
1,48
43,95
13,23882
23,107402
9,539
2,1036
3,5155
2,28492
2,2088
2,618
1,48
0,125
1,48
4,92
2,828
2,3970
1,48
4,1285
2,3507
0,17798
1,2732
1,2192
1,872
0,88
1,280
1,22032
67,96878
1,746
2,103
0,632
2,712
2,10588
2,155
1,1040
1,300862
4,132
56,1605
2,432
2,1242
11,1250
5,7103
2,2304
1,100
2,112
1,2680
1,444
2,452
10,381
1,48
1,516
1,9624
1,25600
1,148
2,772
1,120
38,1849
1,88
5,244
1,100
2,3131
3,1048
1,11472
1,2440
2,664
1,49788
2,4632
1,988
7,239
12,2132
2,415
1,48
1,6283
2,1676
3,1437
3,3528
110,3592
1,256
1,96
1,48
1,680
1,92
1,424
3,163
1,392
1,100
0,272
4,2100
1,2338
1,108
1,48
1,124
1,1194
1,581
1,355
7,535
1,3370
3,20192
0,176
1,48
9,1698
4,15069
15,1611
11,219
3,57551
6,251043
12,4714
4,136
1,132
1,124
3,1300
6,132
1,48
3,6373
1,116
1,3816
2,14645
1,124
6,157
1,108
0,100
1,124
1,144
0,408
1,368
1,1308
1,108
2,1004
1,109
1,1916
1,85076
3,2054
0,116
1,102084
94,1489
3,143
3,1075
2,2528
1,94252
1,424
40,124
1,112
2,1612
1,5836
1,48
1,220
1,108
0,48
1,202
1,116
1,96
1,125
1,92
1,484
1,104
1,257
2,3269
35,5147
2,140
1,1468
1,104
1,96
1,248
291,412
1,132
6,6325
4,2597
2,1833
3,280
3,145
1,48
1,48
1,148
1,380
21,3401
1,140
4,293
2,108
1,124
8,1439
2,1013
1,168
1,116
3,96
26,220
1,2392
1,688
8,119
1,212
1,3516
15,2244
1,1013
80,257
5,1806
1,723
12,834831
6,98
6,442
1,100
7,116
1,207
1,108
1,92
2,1484
10,6862
1,48
1,115
2,376
1,148
1,508
1,837
1,48
1,7936
0,13663
2,168
1,996
8,8807
1,212
1,220
1,236
2,173
7,190
2,2136
6,150
3,392
1,120
1,39296
3,127
4,8556
1,48
1,4628
1,8360
1,10072
1,48
1,48
3,208
1,28136
1,48
1,88
6,17234
2,20642
1,792
2,106
18,389
2,152
5,107
1,221
1,872
10,39588
3,296
2,88
5,395
3,2095
117,300
11,109
1,48
0,504
1,48
2,196
3,62
1,368
3,495
1,92
1,88
4,1076
1,48
86,501
2,92
4,107204
65,792
1,5636
1,3200
5,57640
1,2656
66,981
1,6364
477,5825
6,319
2,124
2,97
3,1208
1,214
2,378
506,5331
1,48
18,6576
3,14044
1,48
1,140
1,266
1,2035
73,513
1,92
3,220
1,128
756,184
1,652
1,456
1,148
4,127
35,167
4,160
3,124
1,101
3,312
1,116
1,116
10,109
1,96
1,4810
1,1296
1,85
4,128
1,92
1,144
1,48
2,11388
1,112
2,96
6,587
1,116
10,216
1085,248
58,39408
18,108
9,377
2,104
45,557
1,196
4,103
2,532
1,116
2,11422
1,25484
2,1735
1,152
1,79960
3,3028
1,5824
1,88
1,138
0,528
11,2134
5,5603
28,630
1,4959
15,171
25,129
7,764
3,104
1,156
1,2942
1,2528
7,11610
1,7552
1,134
1,312
1,3384
1,48
1,48
1,104
3,112
1,152
1,108
0,344
3,4462
0,104
11,1310
1,160
1,192
79,4118
7,10978
13,3405
13,207
3,2269
6,96
2,300
2,2245
27,768
6,5093
3,116
1,4222
2,132
7,4298
5,428
1465,75431
1,776
34,844
0,640
2,796
1,150
1,48
1,48
0,128
1,200
1,144
5,1202
15,216
1,608
1,292
2,6205
1,96
1,196
45,394
7,104179
3,400
4,249
1,48
3,899
3,1124
1,112
3,1416
1,112
10,1377
1,112
105,2463
1,96
23,380
1,9553
1,116
1,284
2,1820
1,88
4,2349
5,143
1,652
4,2363
2,1268
2,2500
1,452
1,496
1,308
13,4125
195,45987
9,822
2,6412
3,60836
0,148
1,116
1,112
1,136
1,628
1,4456
1,2436
1,86893
1,46644
4,392
1,92
1,752
1,2926
205,54041
7,133
1,92
2,13909
1,84
6,1094
2,784
2,129
27,10176
3,111
2,360
5,33365
3,104
5,283
22,27679
1,48
1,88
1,92
1,2452
1,48
371,47083
1,92
1,15492
1,1936
3,3394
1,48
1,160
1,104
1,5108
0,120
2,302
1,233
1,339919
3,124
0,130
1,2356
10,542
5,9808
1,2404
14,185
5,102
10,440
22,2025
23,278
88,50836
1,336
6,5167
2,48
2,4379
1,124
1,112
2,120
1,132
2,1860
1,92
5,57391
1,668
5,186132
17,47262
57,43737
1,448
1,155459
3,88
1,48
11,67010
3,620
5,2048
4,136259
1,116
1,92
1,5350
1,104
1,116
5,1852
1,116
3,546
1,196
1,112
2,48
1,1452
1,105
2,172
3,4959
1,96
4,1375
2,2056
4,2774
1,260
1,96
10,3829
5,305
9,257
1,121738
8,587
1,19996
3,652
1,48
1,156
1,372
2,2346
1,48
2,1553
2,2812
1,5940
1,104
10,412
1,164
1,368
0,124
6,695
231,22109
128,178036
15,4793
3,12064
73,19907
6,7666
22,537
29,315
2,104
1,6752
30,187
3,308
1,48
0,92
1,48
1,620
1,168
1,48
1,193
1,42000
1,48
1,48
1,493
1,195836
4,136
2,1272
122,17831
393,93215
101,1359
1,564
17,3536
1,360
1,160
13,15598
3,684
6,6345
541,756
1,228
21,371
1,144
1,116
1,5680
2,172
29,171
3,748
3,9204
0,92
1,676
2,1028
1,4952
1,332
3,116
4,104
1,120
1,96
1,116
1,276
30,3023
1,256
1,236
1,112
1,1588
1,1903
1,145
16,2181
11,712
1,104
4,50937
1,188
22,18661
2,152
3,5451
1,92
4,1312
1,5288
2,16640
1,104
2,1292
57,5167
1,48
4,372
1,28101
132,10371
1,440
1,304
1,260
335,2330
2,1037
2,218
95,11084
16,1515
48,2658
4,168
35,117
0,120
1,48
3,275
7,5496
1,65951
0,11396
1,104
0,268
1,208
8,183
4,1584
1,48
7,13068
1,128
1,104
1,48
5,112
1,48
4,320
6,13851
1,3048
25,2198
3,9034
3,69157
2,240
4,7538
34,4532
1,712
1,1166
1,104
1,92
0,2396
1,96
1,48
3,321
1,48
1,48
6,1094
2,1812
2,137
1,1952
16,134
4,2141
56,273
9,33194
23,3307
2,908
7,93
1,112
1,108
13,32431
1,104
4,752
1,156
6,744
1,268
1,1335
1,983
1,5671
0,808
1,7524
3,132
2,88
1,348
137,16402
1,8932
1,428
1,2324
2,1473
2,250
1,88
1,92
2,300
0,96
2,594
2,182
10,14215
7,1009
25,122289
1,48
5,3693
1,136
5,1735
1,48
1,188
1,23868
1,104
1,124
1,13472
1,2076
1,280
1,92
1,3276
1,2749
0,164
468,23050
2,1077
5,96
1,144
3,4708
1,184
2,96
1,48
2,2512
2,8632
2,324
1,208
1,48
29,187
2,740
1,48
2,9253
1,88
4,1186
1,76
1,440
1,92
0,785
0,215
1,309
1,1196
3,92
1,105
1,104772
3,6631
1,304
1,212
1,15437
1,164
1,274
1,120
1,432
1,124
0,191
1,300
4,159432
1,96
0,1988
1,572
28,54944
2,194
2,5392
2,933
1,4864
5,30294
30,270
1,7859
81,151
36,2303
4,124
2,112
2,6579
2,8433
6,245
1,160
1,48
1,284
1,3154
1,656
1,836
1,88
1,1392
1,220
2,608
1,496
2,262792
1,4426
1,48
1,116
1,3180
3,14192
5,7864
1,144
1,88
2,108
1,92
1,100
7,16070
1,4520
7,7759
2,2117
1,100
1,92
2,96
3,480
1,192
2,132
1,3288
4,43754
222,1602
1,48
69,314
24,8711
1,120
1,3816
1,1860
4,211
1,48
1,344
1,332
1,88
1,88
1,124
1,344
1,48
5,1883
2,1032
0,124
2,120
3,415
6,408
2,399
1,116
14,111
5,110
20,2275
2,5636
6,2065
1,48
2,328
1,48
1,92
0,164
0,330
24,194
1,336
1,6810
1,256
1,5164
1,2916
1,103
10,121131
1,100
2,21786
1,112
2,310
2,116
18,265
15,624
3,140
3,125
34,516
3,586
9,11776
0,140
1,500
1,48
1,128
1,48
0,392
1,128
1,772
0,136
18,758
1,360
0,108
1,120
1,48
1,38608
1,204
2,116
1,48
1,48
1,460
2,3216
1,576
1,48
2,140
1,217
1,9093
1,828
1,104
1,925
1,2712
1,4036
1,2336
5,23251
1,152
1,48
4,1684
2,48
3,156
3,956
1,108
4,1690
1,4504
2,9488
1,3176
1,316
1,116
1,130
1,105
1,352
1,6568
343,15149
26,3158
11,119098
7,4399
1,88
24,876
4,104
1,108
2,116
5,1466
1,88
2,1128
9,643
7,124
3,120
0,104
1,112
7,689
2,164
1,124
2,4663
6,155
10,236
1,324
9,3144
1,148
1,8232
1,2348
3,1421
12,335
14,133589
10,7268
14,145211
5,963
12,28874
3,4096
2,194
6,96
0,96
1,48
1,19108
1,48
2,901
1,2684
2,444
1,116
1,103
1,6589
1,108
1,58068
1,180
1,160
1,104
5,428
1,92
1037,984
1,23448
4,196
3,94
37,6419
37,2608
1,5334
3,1253
1,3352
1,104
1,172
2,336
1,7332
1,96
1,2228
1,129012
6,6631
1,92
1,272
1,156
2,2028
1,1112
1,344
1,164
1,8820
1,100
1,204
0,115
1,236
1,2024
1,148
1,216
0,92
1,96
1,108
7,296
1,48
1,540
359,53641
3,16615
15,9084
13,149
15,137
161,20462
4,850
5,113
18,12440
2,73044
3,11380
3,90
6,119
1,48
2,3885
1,92
2,1220
1,48
1,88
3,189
1,1313
3,2424
1,668
2,126
1,260
1,104
2,105
6,227
1,133
1,48
1,304
1,127
0,2344
1,48
2,1295
0,256
2,104
86,553
23,213
1,160
1,172
1,600
64,21324
2,452
2,124
1,9604
0,200
1,48
1,824
2,96
1,104
420,888
4,32857
2,6920
4,61693
15,122
1,104690
3,484
2,3804
3,109
1,48
2,42398
4,132
2,140
2,112
1,48
1,2684
1,1680
3,3960
1,2504
2,156
0,328
1,132
1,1424
1,138
3,3648
0,100
1,92
18,2233
1,104
2,226
1,13656
24,5575
2,92
3,332
2,338
6,283
1,3804
3,7389
3,804
1,656
2,192
1,180
3,59886
1,160
20,10836
2,9732
1,2100
17,172
8,100
16,262
18,142
7,356067
8,1773
1,1524
3,3948
2,1811
0,94
1,256
11,7569
1,588
3,200
1,18296
1,48
13,593
2,21028
2,204
206,6140
6,138
2,268
3,188
21,364
4,876
0,48
0,48
1,120
1,10770
1,132
3,291
3,11040
0,15245
1,100
1,939
1,116
1,19936
1,172
355,34981
1,132
2,108
4,4115
1,5376
0,17084
0,3156
1,48
15,119
9,660
8,476
0,140
8,242
6,224
6,164
2,283
5,147
112,2251319
1,48
1,92
1,160
1,100
1,88
1,132
1,168
1,48
1,48
1,48
1,1352
8,8704
1,48
1,48
3,131
9,112
1,720
1,108
10,42019
4,362
2400,1356
2,116
4,336
2,97
9,944
1,155383
1,160
1,14208
1,92
4,138
17,23696
13,32031
22,491
34,27125
46,142
2,892
13,32819
3,540
4,1632
4,228
2,90
5,100
1,103
2,1148
1,116
1,2061
8,11084
1,218
1,148
8,353
5,368
1,96
1,11281
3,1001
1,104
1,432
1,92
1,144
1,30032
4,355
1,4679
34,16249
1,212
2,96
7,3180
2,96
2,600
2,618
2,2880
1,48
1,1596
1,176
1,148
1,816
1,328
1,1164
1,318
1,2184
1,152
1,5939
5,112
1,48
1,716
2,3394
1,128
1,116
1,48
1,48
12,296
0,296
2,148
14,22446
3,128
437,4740
13,200
2,13120
2,5904
30,408
2,4803
8,542
2,1344
8,1371
7,441
4,168
14,12467
2,660
1,264
1,108
1,168
1,108
1,2128
0,592
0,208
46,15196
1,8516
1,234
1,144
2,2988
1,1356
3,179
2,120
6,1238
1,48
5,67404
1,48
2,100
1,48
8,337
13,149
1,5176
0,432
1,128
0,108
3,99
39,13992
1,2744
8,100
1,236
1,4519
1,48
4,66042
1,132
720,115911
45,5383
2,372
2,184116
2,6053
2,7832
2,99
6,184
4,339
1,5772
1,1432
1,492
1,88
1,136
2,21412
4,112
1,144
2,164
1,104
5,124
3,111
1,96
2,156
1,136
1,104
0,100
0,112
7,159
7,176821
28,274
59,880
3,132
8,1657
14,30729
183,2238
2,300
3,1670
4,248
950,3197
3,525
1,1378
1,3484
2,101
3,192
1,120
1,48
1,112
1,216
1,48
3,156
1,1952
1,1716
1,112
2,144
1,7580
5,120
0,176
0,3787
1,112
176,934
5,648
6,9212
7,133
3,1296
2,144
1,156
6,18337
1,96
2,48
4,172
41,116
1,3729
0,776
1,104
2,96
1,48
1,48
1,48
0,8312
6,32502
4,732
0,3240
1,92
1,783
37,7165
1,92
26,285
102,360
54,48508
6,767
4,137466
2,292
17,1885
13,31600
3,210
2,104564
1,93
22,245
3,11322
1,88
1,128
1,3062
671,18707
1,340
1,96
9,111
56,695
1,100
4,1508
1,88
1,388
6,7084
1,1640
2,461
3,228
2,4476
3,3902
562,15724
10,310
11,2925
898,263
8,5125
13,217768
93,2907
2,268
29,126395
1,120
47,915
2,31631
1,3012
1,164
1,104
1,92
1,1013
1,680
1,764
1,965
1,2128
1,112
1,3292
3,565
1,2216
1,4876
1,48
1,92
2,1296
1,364
1,136
24,5104
10,166
2,240
6,1541
1,11084
1,1503
3,7407
1,48
1,2172
3,417
1,48
4,681
1,372
1,180
7,2884
2,112
2,5716
1,2293
1,400
1,856
5,120
2,140
1,188
6,800
105,313
1,480
1,124
2,3224
1,48
862,405
3,8275
1,22381
146,1145
1,2584
1212,3819
1,48
7,95677
2,1831
18,158
0,3728
2,496
1,9672
1,100
2,11118
5,1636
1,436
1,320
6,468
1,144
0,108
0,100
1,48
1,2240
15,20449
7,131
6,7576
22,6385
2,569
2,106
4,5711
1,48
1,92
6,112
1,100
2,319
2,100
7,108
1,100
2,703
1,448
4,2576
4,1621
2,89
1,8348
1,92
1,3064
113,21752
538,654
14,528
10,340
557,154365
3,9528
3,226
2,86
5,9088
6,1228
1,160
1,92
1,512
1,1463
1,96
1,176
1,936
2,1544
1,48
0,516
1,48
1,316
1,104
1,608
1,216
1,1300
1,36652
1,108
193,2750
12,131
1,236
1,92
8,100
2,8716
5,157
1,144
9,495
16,111
1,140
1,124
3,371
1,112
6,93
34,76329
1,628
6,549
1,7580
1,2133
2,14344
1,140
1,108
1,496
1,100
2,672
1,496
1,3188
1,1372
1,169
1,100
1,4283
1,88
1,560
1,256
0,7692
11,1414
1,48
7,4093
1,2602
5,100
3,610
2,7807
1,2674
2,157
1,124
1,1004
1,376
1,92
1,372
1,124
1,48
53,15549
3,160
1,196
2,3239
1,228
1,276
1,1128
1,161
1,120
2,824
1,1604
1,48
1,100
3,764
1,48
3,36260
2,48
1,92
2,548
3,1764
1,1121
1,2244
3,1220
68,728
1,1871
2,348
1,100
1,228
1,48
2,868
1,100
1,104
1,48
12,2604
5,1048
6,274
1,48
1,136
0,232
3,214239
4,3344
2,132
1,104
1,2144
0,48
1,884
1,128
6,270
5,2252
1,160
1,104
1,48
30,6692
1,316
0,176
4,680
7,104
38,4754
2,1340
3,224
3,243
4,288
1,5419
1,48
173,33367
1,48
0,460
4,242
2,88
1,2160
1,48
1,852
1,3767
1,48
1,108
1,2636
2,48
1,48
2,590
1,2472
1,530
2105,695
1,92
1,1456
1,132
9,636
2,828
1,124
1,736
1,222
1,260
52,78462
11,156
4,6722
14,92099
6,1806
1,632
2,328
1,284
1,1268
1,252
1,48
1,204
3,300
1,4232
1,149
1,676
349,255
1,644
1,176
1,132
1,1403
2,2352
1,72
5,96
1,1636
855,937
4,258
8,114
95,120
5,133
2,92
3,1150
6,146
7,140
2,9923
1,992
10,4985
1,48
1,104
1,120
1,590
1,112
1,48
0,96
5,1630
1,48
1,104
0,1096
1,249
34,161
0,9956
3,100
1,100
1,2788
2,120
1,1328
3,152
382,24023
7,125
2,137
57,16000
2,100
6,6872
1,2920
17,1199
3,22306
1,584
12,356
1,112
1,580
1,104
1,48
1,101
1,132
1,81942
1,116
1,240
46,12339
2,1332
1,260
1,92
1,2492
1,420
1,155
1,250
1,116
1,20503
1,160
1,208
0,2152
1,121
7,13092
22,190
1,2648
1,3536
1,1328
1,48
1,48
6,318
6,11520
0,100
7,2768
3,3988
4,730
6,116
3,29428
1,96
1,94890
2,300
0,7288
3,1536
2,552
0,1555
1,88
4,3361
1,84
3,248
1,48
8,4694
1,144
1,1060
1,2832
3,128
411,691
1,136
0,7644
1,15928
4,90
319,1556
1,48
6,100
3,56283
2,9452
4,163
3,1611
1,168
1,92
6,2922
1,1768
3,380
1,112
1,140
2,1244
1,48
1,48
1,908
1,102868
2,112
1,612
9,3079
1,364
1,12203
1,260
1,2444
1,29706
2,200
16,254
2,2212
156,155
1,48
16,323
1,148
1,48
2,419
11,474
2,12592
3,225
1,3857
2,220
4,107
1,144
1,236
5,488
2,4338
1,10704
2,146
1,360
1,224
3,70772
3,96
1,48
2,240
1,884
2,2756
2,600
10,719
0,156
338,13354
36,12022
14,121
9,233
0,4365
10,151
4,336
1,104
3,113
3,394
1,104
1,104
1,636
1,48
1,2752
1,388
1,48
1,48
0,492
285,4085
1,276
1,2138
53,8117
1,10476
2,406
2,124
1,776
690,416
4,97
5,107
2,206
15,230
1,88
1,668
1,152
1,48
2,1760
0,116
1,48
1,11371
1,140
1,6891
3,1932
21,11174
132,1289
1,396
1,116
1,128
1,2400
103,708
4,367
17,135
6,4552
6,8908
56,24538
1,424
1,152
1,48
1,88
1,376
1,132
1,104
1,128
1735,32061
2,4595
1,296
1,92
4,112
1,356
1,1860
1,3084
1,104
1,72
2,115
1,1132
1,484
2,120
0,15276
2,92
1,4848
1,636
1,136
8,2462
6,117
12,61917
8,142
2,9678
32,634
3,1818
1,568
1,928
2,133732
2,184
2,102
1,1104
4,616
2,1171
6,114
1,212
669,28887
1,3080
1,48
2,9404
1,2276
1,48
2,8756
3,931
14,131
3,120
3,3484
4,1052
138,25222
1,288
10,322
1,48
3,108
1,100
60,2043
17,33054
1,116
1,48
3,988
1,48
1,5704
1,921
2,108
1,3564
21,767379
4,112
3,306
1,104
21,128
32,164
12,18650
22,42272
16,7272
5,1357
21,774
3,375
3,1358
284,275
5,828
11,317
3,135
6,4400
3,160
2,18753
2,116
6,41874
1,656
10,99
2,116
1,48
5,119
2,139540
1,108
1,48
1,9695
3,378
1,128052
2,108
1,12520
556,9491
16,951
0,114
1,92
1,88
0,144
1,784
2,252
1,48
1,1652
1,88
0,113
33,1273161
5,1290
1,120
1,48
4,140
1,92
1,3216
1,156
1,120
3,288
1,88
1,104
1,8581
0,160
1,676
1,492
5,7562
2,80
1,2668
10,4969
4,56668
2,6713
4,2744
79,1017515
60,2873
34,163
2,116
1,48
6,96
3,416
4,120
12,15299
2,2936
1,136
1,128
2,620
1,96
1,92
1,1012
1,63700
1,720
1,284
1,268
1,48
1,176
2,180
0,296
1,100
2,162
1,176
2,1472
1,212
1,338
3,3872
25,117
1,3288
17,7397
1,196
20,386917
30,48168
2,1757
7,292
9,28356
5,337346
10,2661
3,32618
5,100
2,423
1,88
3,421
0,160
1,88
0,228
0,372
1,7788
1,3324
1,4368
4,92
1,100
3,117
3,131
1,4008
1,132
1,1414
3,880
351,254
3,652
28,25994
7,160
44,126
3,498976
1,372
1,180
0,17960
0,112
0,372
0,55400
0,5420
1,48
0,71456
0,10836
1,92
1,300
0,9372
0,264696
0,229708
0,160
1,172
14,162
2,152
0,294001
2,99
2,2689
1,544
2,116
1,140
0,88
1,192
1,88
1,112
1,632
2,636
1,100
2,281
1,324
607,1854
11,399
19,390
16,57886
7,6751
3,88870
11,13919
16,50964
6,187
19,957
5,608
33,764
3,2184
6,33779
7,88
3,58209
1,108
3,60680
5,3381
43,234
1,888
3,92
0,100
1,48
1,132
5,2110
1,172
0,48
1,214
1,1560
1,116
1,88
2,180
1,620
1,1028
2,748
0,180
1,152
1,96
1,263
15,284
1,240
2,2464
1,1636
2,1832
1,2166
0,8896
1,336
2,16675
1,21052
1,152
1,88
3,381
0,420
1,132
1,924
1,48
1,148
2,53808
1,120
1,108
1,812
2,198
2,260
1,456
2,6608
600,184
3,100
3,112
1,144
1,3368
1,264
3,15432
7,711
1,560
1,92
6,499
0,256
140,96099
3,13300
3,944
1,48
14,617
3,5139
1,164
1,172
0,484
1,674
1,100
1,112
2,2504
1,160
1,124
1,236
1,465
59,879
1,92
1,1584
0,108
1,368
1,88
1,564
50,1688
1,2388
1,736
1,584
3,27250
189,11871
5,132
16,38605
5098,5790
1,48
6,736
1,124
1,836
0,9612
22,4832
1,48
1,136
236,180156
1,5924
1,92
1,2020
3,128
1,188
2,116
2,100
1,1544
1,48
2,24920
1,144
1,116
1,100
1,4908
49,467948
1,264
1,8932
1,23736
1,173
902,6676
2,158
1,48
2,93
14,638
7,10368
2,270
1,15660
8,99
1,95
1,96
0,7900
1,112
0,3848
1,21324
1,156
1,580
1,156
1,48
1,268
1,48
1,132
16,104
2,4568
1,112
2,473
1,48
32,2515
1,48
3,204
13,35368
4,5388
3,141
1,96
2,144
2,2932
1,48
1,104
1,2895
2,18464
1,48
1,3223
1,88
5,576
4,434
4,548
1,3317
0,48
2,144
1,12268
4,224
1,104
3,11740
1,102524
2,132
1,240
5,32847
6,11245
5,6144
9,4159
2,156
2,328
4,380
1,36372
6,11041
1,100
1,270
1,56
1,92
1,238
2,27676
0,112
1,13396
0,120
1,120
1,261
1,116
2,308
1,232
3,108
1,124
11,541
38,232
1,116
2,409883
1,48
1402,83278
1,6032
2,440
2,1608
2,100
7,250
0,780
1,229
2,3720
2,1151
14,382
36,11990
19,706
1,112
9,3438
3,536
7,186
5,181
6,1416
2,160
6,128
2,99
2,2774
2,190
5,12751
2,108
5,244
1,1088
1,104
1,48
5,119
2,112
1,112
0,6074
1,5528
4,244
3,285
1,116
1,2280
2,148
3,98
1,48
1,234
1,244
1,413
1,332
22,4643
1,48
6,379
1,196
7,1895
1,48
1,129
3,252
76,1783
9,1704
3,736
100,273
117,353
1,18972
0,18858
1,48
0,15916
2,288
1,92
1,76
44,5025
1,240
1,10148
1,709
1,216
10,103746
1,99
1,232
3,99
1,300
1,104
22,10423
2,657
2,244
1,196
3,3483
0,304
2,7932
4,108
10,2083
0,48
1,88
1,376728
2,12712
1,1064
3,376246
1,428
2,180
2,35691
1,120
2,381
1,304
1,5549
57,4775
7,451
0,140
1,125
1,108
140,13482
125,36177
